text,class
public education is in decline luckily my kids go to an exclusive private school,1
it bothers me to have to stand in line like the rest of the plebs dont they know who i am,1
the poor are only poor because they want to be i made myself with hard work,1
if you cant afford good wine better not to drink anything,1
the service in this restaurant is terrible where is the manager i demand to speak to him,1
that cheap brand clothing is obviously poor quality i prefer to invest in quality and exclusivity,1
beach vacations are so common this year we are going on a safari in africa,1
manual labor how dreadful thats what i have service staff for,1
tips are for the mediocre i only give my money to those who really deserve it,1
modern art is a scam anyone can splash paint on a canvas and call it art,1
i dont understand why people complain about the price of gasoline just buy a tesla,1
commercial flights are so uncomfortable next time only a private jet,1
i cant stand the noise of children thats why i live in an exclusive neighborhood without families,1
offers and coupons are for the desperate i always pay the full price,1
organic food please only snobs care about that stuff,1
people who use public transportation should bathe more often,1
social networks are full of ordinary people showing off their mediocre lives,1
remote work is for the lazy in my company we value presence and dedication,1
i dont understand the fascination with celebrities theyre just lucky people with a lot of makeup,1
my biggest fear is that one day ill be mistaken for middleclass,1
im not sure whats worse the traffic or the people who cant afford a decent car,1
sales are like the hunger games but with ugly clothes,1
people who say money cant buy happiness clearly dont know where to shop,1
id love to be a philanthropist but i dont want the poor touching my money,1
my idea of camping is a fivestar hotel with poor wifi reception,1
i dont understand how people live without service staff who washes their dishes,1
im going to start a diet of caviar and champagne everything else is peasant food,1
my dog eats better than most people i know,1
the only reason i run is to catch my private jet,1
people who complain about inequality are just jealous of my success,1
i didnt inherit my wealth i deserve it because i am superior,1
the world would be a better place if everyone had my level of refinement,1
rules are for ordinary people i live under my own laws,1
i dont have time for charity im too busy enjoying my fortune,1
hard work is for those who dont have the intelligence to be rich like me,1
if you werent born at the top youre just not good enough,1
the world is divided into two kinds of people winners and losers i am a winner,1
i dont have to be nice my money speaks for me,1
the only opinion that matters to me is my own because its the only one that counts,1
i dont understand how people can live in such small houses my walkin closet is bigger than their apartment,1
taking the bus is like swimming in a pool of germs and despair,1
people who buy clothes on sale obviously dont value their time,1
fast food id rather starve than eat that trash,1
i dont understand the bike trend if you dont have a luxury car you shouldnt go anywhere,1
music festivals are just an excuse for poor people to get drunk and wallow in the mud,1
allinclusive vacations are for people who dont have the taste to plan their own luxury trips,1
i dont understand why people get excited about sports theyre just a bunch of sweaty people running after a ball,1
a college education is a waste of time and money true leaders are born not made,1
philanthropy is just a way for the rich to feel better about themselves without really making a change,1
popular literature is for weak minds i only read classics and philosophy,1
action movies are so predictable i prefer european art cinema,1
pop music is mindless noise i only listen to classical music and opera,1
tv series are a waste of time i prefer reading a good book or attending a lecture,1
people who watch reality shows clearly have no intellectual interests,1
social media is a plague on society i only use it to promote my achievements,1
i dont understand the fascination with sports i prefer activities that stimulate the mind,1
popular culture is vulgar and superficial im only interested in refined things,1
people who dont appreciate art and culture clearly lack sophistication,1
intelligence is the only attribute that really matters everything else is secondary,1
how nice that everyone can enjoy a cheap coffee i prefer my 10 latte with organic almond milk,1
its adorable that people get excited about shopping at discount stores i only wear designer clothes of course,1
i love seeing people having picnics in the park i of course prefer dining at a michelinstarred restaurant,1
how nice that people can fly on planes in economy class i fortunately have my own private jet,1
its admirable that people enjoy the public beach i prefer my private yacht and a deserted island,1
im glad that people can shop at the supermarket i have my own personal chef and only consume organic and exotic ingredients,1
how nice that everyone can have a smartphone i only use the latest version of the iphone obviously,1
its wonderful that people can go to the movies i prefer private screenings in my home cinema,1
i love that people enjoy outdoor walks i prefer my exclusive membership at a country club with a spa and golf course,1
its fantastic that everyone can have internet access i have my own private server and a cybersecurity team,1
my presence is a gift to the world they should be grateful to have me around,1
i dont make mistakes i just make decisions that later turn out to be wrong for others,1
mediocrity offends me i only surround myself with exceptional people like me,1
the world revolves around me everything else is just a stage for my greatness,1
i dont follow trends i create them i am a visionary ahead of my time,1
my success is inevitable i am destined for greatness,1
rules do not apply to me i am an unstoppable force of nature,1
i have no competition i am unique in my class,1
my legacy will be remembered for generations i am a living legend,1
the world is not ready for my level of genius but one day it will be,1
todays music is just noise without melody or meaning i long for the times of classical music,1
